;Load;Air Speed;Ground Speed
61;2689.495323;39.5;36.45015190531696
62;2675.559803;39.5;36.43950097228869
63;2657.68166;43.61;36.83102848610255
64;2565.099355;47.72;36.61084703473781
65;2544.134151;44.98;36.963351955344145
66;2507.992693;44.98;36.81860496074808
67;2592.14665;44.98;36.76006133595402
68;2656.562501;43.61;36.928853461850544
69;2646.446892;42.24;37.150719604124426
70;2734.592327;40.87;37.352194186842254
71;2816.695439;40.87;36.59891140343236
72;2732.764178;39.5;36.3009391301229
73;2747.638202;42.24;35.9363704223334
74;2744.163695;43.61;35.43115976005559
75;2667.693874;39.5;35.48259030098307
76;2634.688335;42.24;35.39752758658703
77;2705.243087;42.24;35.17220100522765
78;2617.189684;40.87;34.758514554818255
79;2710.876377;40.87;33.97452143573797
80;2781.317509;40.87;33.36816580555463
81;2722.442916;40.87;33.01818352904564
82;2740.080184;38.13;32.17495172860552
83;2710.301459;36.76;32.286763023297205
84;2629.242517;36.76;33.29712693525667
85;2598.238966;36.76;33.708897835792
86;2647.449022;35.39;33.402162634736996
87;2760.878367;35.39;32.346881841480176
88;2777.702113;32.65;30.78828016794175
89;2959.558102;31.28;28.741970120947183
90;3096.912457;7.0;26.65962729572553
91;3017.343077;8.0;25.02928643721879
92;2825.464648;8.0;23.653877876817464
93;2792.534098;7.0;21.919672455372826
94;2905.96685;6.0;22.310080229610257
95;2847.772843;0.0;24.7176324166664
96;2820.780086;0.0;24.358509969654513
97;2813.401588;0.0;24.71444708271294
98;2770.57358;0.0;25.157727188407936
99;2958.236699;0.0;25.811523821770233
100;2885.903791;0.0;26.930993229656153
101;2867.75296;0.0;27.685829068867875
102;2811.57912;0.0;28.39925530803237
103;2725.069816;0.0;30.679278158340153
104;2682.105464;0.0;32.08704535873174
105;2805.228886;6.0;33.18956405892647
106;2800.663625;6.0;34.03227705690792
107;2832.751113;6.0;34.936730034695664
108;2828.298336;8.0;35.37727342976857
109;2689.99298;10.0;36.24403515275585
110;2571.313245;11.0;36.6854773839628
111;2724.30288;10.0;37.10834140221469
112;2684.852801;9.0;36.99675861716367
113;2790.700267;9.0;36.9296437198764
114;2716.994827;8.0;36.66768332294708
115;2731.789316;8.0;36.49819160518402
116;2737.966848;8.0;36.29390310990855
117;2736.165967;9.0;35.546801028223214
118;2805.108448;9.0;33.21527516831987
119;2958.146939;9.0;31.648053974128178
120;2915.396193;0.0;30.504461618860354
121;2894.310551;0.0;30.17890678838428
122;2846.7923;0.0;29.988930679086135
123;2811.752959;0.0;30.097884944832508
124;2877.108449;0.0;29.755396598494478
125;2774.267374;0.0;29.632828320204336
126;2842.441782;0.0;29.256031743337935
127;2803.57003;0.0;29.159713067850383
128;2928.284135;0.0;29.222480296073385
129;3488.552287;0.0;29.96479616240588
130;3178.405428;0.0;29.373874442721934
131;3391.111581;0.0;29.32683136557647
132;2900.499445;0.0;29.94131357840876
133;2975.56492;0.0;31.318643885258954
134;2700.70055;0.0;31.770612146537275
135;2757.969689;0.0;32.57996218744257
136;2709.30501;0.0;32.41318207597334
137;2748.96415;6.0;32.87959197217185
138;2842.628119;6.0;32.630735992907425
139;2720.602269;0.0;33.1481549635286
140;2274.555394;0.0;32.00785722109755
141;1730.897383;0.0;32.00919165164712
142;1442.115672;0.0;31.173076372510263
143;443.4063832;0.0;31.479073093705015
144;35.0916493;0.0;30.32362156150023
145;22.21166048;8.0;34.51945487590854
